Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ,HandCloseCount
56.75144,-1.14307,1.504735,-0.4945438,-0.9136943,-0.3563473,0.1901383,0.04501864,-0.06735753,0.5076753,-0.2084198,-0.5009309,1.509331,-0.7177953,0.7584456,0.4966112,-0.01010825,0.4219424,-0.8054026,0.09207306,-1.085824,0
56.86305,-1.151894,1.554586,-0.466737,-0.8992378,-0.3649874,0.1004023,0.2192602,-0.1143723,0.4881308,0.2906647,-0.5753475,1.505164,-0.7246918,0.8004828,0.3523809,-0.04593252,0.4826439,-0.5012554,-0.05456403,-0.08287552,0
56.97446,-1.180362,1.490595,-0.3695242,-0.9125176,-0.3212315,0.2445028,0.06588132,-0.07343558,-0.5197556,0.7390226,-0.5494092,1.479834,-0.6639388,0.6996998,0.4176348,-0.02524786,0.5791062,0.05634025,-0.2675158,0.5649662,0
57.81053,-0.4420524,1.618148,0.001248573,0.06534357,-0.6734422,0.4135527,-0.6092455,-0.0274135,-0.6143987,0.04941607,-0.6022761,1.595959,-0.5616543,0.2274948,0.8444983,0.005844803,0.4848036,-0.8615363,-0.2644285,-0.9568835,0
57.92149,-0.5338206,1.46567,0.07145914,0.008747377,-0.5869318,0.6287062,-0.5100619,-0.7913041,-1.267665,0.383993,-0.7724108,1.486417,-0.6183321,0.331324,0.8658182,-0.1637944,0.3372754,-1.496229,-0.6843292,-0.6202476,0
58.03212,-0.7074474,1.383489,0.1471674,-0.08112036,-0.4763934,0.7689144,-0.4186161,-1.461508,-0.8531207,0.4534315,-0.946681,1.428041,-0.5560352,0.434802,0.8004535,-0.2906838,0.2927872,-1.524976,-0.4015215,0.2571726,0
58.14434,-0.9305582,1.372068,0.181798,-0.2718786,-0.3451975,0.8411971,-0.3151319,-1.856377,-0.2700141,0.1895498,-1.126916,1.413532,-0.4509197,0.4421251,0.7562585,-0.4671215,0.119983,-1.673335,-0.06221125,0.7000273,0
58.25556,-1.110914,1.452543,0.1656497,-0.4324902,-0.206561,0.8452907,-0.2361532,-1.553059,0.4585156,-0.1029691,-1.266088,1.45453,-0.3073961,0.473231,0.6376643,-0.6072632,-0.02584721,-1.253121,0.3852488,1.0632,0
58.36666,-1.215737,1.544558,0.1456746,-0.4282064,-0.2038523,0.8799703,-0.02712624,-1.031236,0.8250884,-0.1465686,-1.325499,1.520915,-0.1977559,0.485389,0.52366,-0.6950676,-0.08401627,-0.602622,0.5241549,0.8646739,0
58.47763,-1.203787,1.562366,0.1697612,-0.4036737,-0.2078323,0.8898774,-0.04440213,0.01295332,0.1338537,0.1860548,-1.330843,1.542121,-0.1899045,0.4847428,0.5237833,-0.6920413,-0.108417,-0.1265601,0.2017726,0.1329856,0
