Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ
102.7559,0.6926606,1.371049,0.2290758,0.439413,-0.860468,0.08086122,-0.2448932,-0.2261682,0.5135646,0.4454195,0.1828932,1.39819,-0.09222835,-0.1980978,-0.8888385,-0.05272753,-0.4098086,-0.4751226,0.3835649,0.3752249
102.8593,0.6658042,1.410632,0.2616785,0.4168134,-0.8705869,0.02813946,-0.2599098,-0.2740442,0.4482259,0.3385377,0.1556163,1.42037,-0.05573104,-0.1925685,-0.8842741,-0.08379442,-0.4170795,-0.2705349,0.2668817,0.3862034
102.9631,0.6318899,1.445832,0.2805705,0.4272428,-0.8680136,-0.03290799,-0.2508644,-0.3562283,0.3764184,0.1818913,0.1464022,1.442434,-0.01513898,-0.1693992,-0.8678029,-0.1280582,-0.4492474,-0.06760751,0.2452969,0.4142671
103.0657,0.5951883,1.477303,0.2914846,0.4234266,-0.8742123,-0.1144523,-0.2082392,-0.4581819,0.3817517,0.1211883,0.1477649,1.455667,0.01617163,-0.1860845,-0.8364086,-0.1705588,-0.4865212,0.03476533,0.1538667,0.3751011
103.1692,0.575674,1.480955,0.2806808,0.4436552,-0.8626118,-0.1852871,-0.1572881,-0.2355017,0.04067159,-0.1348074,0.1584372,1.457886,0.02520536,-0.1995202,-0.7843317,-0.2270576,-0.5417198,0.1521225,0.03250584,0.1654644
103.9124,0.6912174,1.138621,-0.03211742,0.7801287,-0.6017148,0.1496332,0.08335689,0.192607,-0.01481875,0.2109089,0.4960037,1.163917,-0.1962562,-0.7354664,-0.4703709,-0.1735718,-0.4557557,-0.1348114,-0.04159262,-0.1626175
104.0148,0.7284622,1.149412,0.009506561,0.7714179,-0.611149,0.1736623,0.03539523,0.3992115,0.1144992,0.4218432,0.453433,1.177622,-0.2210466,-0.7235842,-0.5194778,-0.1364796,-0.4335228,-0.448121,0.1235553,-0.2498233
104.119,0.7695102,1.153528,0.07949542,0.7514039,-0.6210566,0.2216962,-0.02305837,0.4293667,0.04332212,0.6570478,0.3736363,1.180084,-0.2450538,-0.7240261,-0.5567291,-0.08158356,-0.3989776,-0.7687998,0.005449573,-0.2332695
104.2226,0.7904872,1.148598,0.1528361,0.6952695,-0.6602005,0.26988,-0.08888374,0.2963035,-0.04965945,0.7734588,0.2882516,1.162692,-0.2446705,-0.7236189,-0.5826288,-0.01593482,-0.3696831,-0.9133042,-0.186801,-0.03741798
104.3259,0.7986379,1.129939,0.2279867,0.6479878,-0.6684339,0.333642,-0.1482931,0.1434276,-0.2000404,0.8214079,0.21064,1.1365,-0.2216385,-0.7051465,-0.6104209,0.06236812,-0.3553379,-0.8535067,-0.2798871,0.2170295
104.4301,0.7775668,1.113637,0.2932368,0.5842004,-0.689499,0.3870587,-0.1829936,-0.1702937,-0.1779176,0.6218647,0.1425562,1.114205,-0.1772954,-0.6487938,-0.6668214,0.1564477,-0.3315721,-0.6534878,-0.2314824,0.4071774
104.5333,0.7531368,1.122193,0.3263262,0.5263636,-0.7238275,0.3933504,-0.2104529,-0.2293282,0.06976729,0.3606516,0.1056453,1.10234,-0.1304148,-0.6412755,-0.6741923,0.2078666,-0.3016984,-0.4259691,-0.1360229,0.4942346
104.6351,0.7466598,1.141426,0.3449615,0.5292907,-0.7205331,0.3836443,-0.2313017,-0.03836525,0.1804834,0.1660179,0.1067331,1.107274,-0.09008726,-0.6117871,-0.6874323,0.2282939,-0.3178603,0.0193896,0.02791791,0.3809401
105.3962,0.745193,1.062267,0.05460915,0.6286813,-0.7040725,0.3296595,-0.01914185,-0.04732073,-0.06346088,0.002103813,0.5053397,1.090373,-0.1610534,-0.7037657,-0.5371945,-0.05261567,-0.4619173,-0.01402388,-0.1030949,0.004466652
105.5018,0.7662864,1.088453,0.09001506,0.69899,-0.6441011,0.3106048,0.008444995,0.1969247,0.2532038,0.3327689,0.4704246,1.123581,-0.168243,-0.7543604,-0.4808564,-0.1276924,-0.4282665,-0.3086422,0.337497,-0.08384965
105.6058,0.8189335,1.108601,0.1685868,0.6857463,-0.6278481,0.3654028,-0.04516144,0.5877362,0.2057343,0.8385803,0.3854956,1.139454,-0.2071425,-0.7671276,-0.5080494,-0.06713769,-0.3858673,-0.940605,0.1428795,-0.421571
105.7112,0.8671286,1.12113,0.2873536,0.656935,-0.5955727,0.4473525,-0.1166419,0.4940323,0.1222688,1.155019,0.2547226,1.13896,-0.2381803,-0.8053575,-0.5004252,0.01629779,-0.3173456,-1.276011,0.01908827,-0.2912396
105.8147,0.8710091,1.128847,0.4006553,0.6056217,-0.5746899,0.5160327,-0.1914791,0.09378523,0.07784113,1.236957,0.147252,1.141474,-0.2240997,-0.7985155,-0.5297294,0.09619364,-0.2692703,-1.172387,0.02998019,0.1253652
105.9198,0.8369669,1.123438,0.510905,0.5419433,-0.5469522,0.5974919,-0.2239292,-0.3106039,-0.05591244,1.065201,0.05341191,1.138194,-0.1738277,-0.7651275,-0.5666926,0.1975969,-0.233227,-0.9050635,-0.057043,0.4889942
106.0246,0.7843882,1.142692,0.5287276,0.404416,-0.6433765,0.5691633,-0.3139546,-0.521711,0.1732157,0.1500652,0.0157063,1.133755,-0.1217183,-0.7387202,-0.5821603,0.2602005,-0.2183518,-0.411274,-0.06907772,0.5584278
106.7504,0.6778738,1.020466,0.102296,0.7096962,-0.6211961,0.3163907,0.101703,0.3579641,-0.3859136,0.2052684,0.5652333,1.055925,-0.03131369,-0.7778156,-0.3075012,-0.2246887,-0.4999608,-0.03907421,-0.1786911,-0.3935628
106.8546,0.7280681,1.008486,0.1656693,0.6803088,-0.6270964,0.3756437,0.05312258,0.5476905,-0.1477149,0.6562651,0.511897,1.05783,-0.09055175,-0.8016894,-0.3406557,-0.1611811,-0.4639705,-0.5545284,-0.002862056,-0.6368192
